コード,発行済株式数
5998,4153370
6005,125291112
6013,75689100
6016,8400000
6018,3248548
6022,1540000
6023,27350000
6027,22867600
6029,10287000
6030,7178900
6031,25768600
6033,5508676
6034,5718600
6035,17839710
6036,28280840
6037,19753800
6038,5062600
6039,14391000
6040,48008700
6042,2000000
6044,6583485
6045,7975800
6046,19500000
6047,24237774
6049,22680000
6050,11933516
6054,28160000
6055,105149520
6058,46914039
6059,21618800
6061,10050000
6062,32712000
6063,2519600
6069,8101000
6070,12605700
6071,42001800
6072,23148000
6073,12348500
6074,4026056
6078,27411600
6080,31779000
6081,16899582
6082,10938719
6083,7832400
6085,114860220
6086,21666000
6087,3980000
6088,86000000
6089,23118900
6090,5919797
6091,13727553
6092,8175200
6093,45950238
6094,18022924
6096,9845600
6098,1472504149
6099,60600000
6101,48000000
6103,67510308
6104,24820406
6113,317451417
6118,59662021
6125,6703795
6134,97823748
6135,24893841
6136,96145417
6137,22614665
6138,2992999
6140,48430000
6141,142325934
6143,54792239
6144,15160000
6145,18098923
6146,108483729
6147,4579000
6149,6392736
6150,1020000
6151,19154495
6155,11020000
6156,5300000
6157,25035034
6158,7028000
6159,7706100
6161,11768000
6165,27622400
6166,11020900
6167,20000000
6168,1300010
6171,14237995
6173,10611129
6174,406666
6176,14575300
6177,25243500
6178,1811314000
6180,1868839
6181,44968700
6182,10888060
6183,74522695
6184,41194972
6185,14777555
6186,5531006
6189,9547580
6190,4076933
6191,22772065
6193,3009553
6194,22315341
6195,16465800
6196,57609000
6197,94741793
6198,8624320
6199,13710000
6200,85243000
6201,325840640
6203,12548134
6208,6385972
6209,28247910
6217,6807555
6218,6353454
6222,34800000
6223,20500000
6224,13128520
6226,35371600
6227,18849000
6228,13470000
6229,4562200
6230,4578000
6231,3849000
6232,19472474
6233,5391000
6235,44358000
6237,22490910
6238,28296000
6239,7078400
6240,69938478
6245,15394379
6246,12401720
6247,28732800
6248,1873500
6249,14681400
6250,44108428
6254,40608000
6255,22052426
6257,22895500
6258,32268270
6262,24828600
6264,28106000
6265,1657000
6266,14842354
6267,1798800
6268,118064699
6269,68345300
6272,28392000
6273,63869359
6276,5722500
6277,15730538
6278,19780000
6279,28800000
6282,33300505
6284,14991108
6286,6483323
6287,33635942
6289,27074728
6291,10538420
6292,7210000
6294,8378700
6298,19517894
6301,930340620
6302,122905481
6305,215115038
6306,40000000
6307,8987700
6309,29949600
6310,22984993
6315,75157367
6316,5029332
6317,9650803
6322,7728540
6323,176400000
6324,96315400
6325,14000000
6326,1138716846
6327,8449600
6328,25860000
6330,58828807
6331,23741850
6332,40125800
6333,15780038
6334,11402636
6335,8728920
6336,8176452
6337,5578695
6338,5491490
6339,54580928
6340,28149877
6342,1500000
6343,45099320
6345,64570000
6346,1320000
6347,10287476
6349,53478840
6351,50826972
6356,14280000
6357,19332057
6358,8890434
6360,1452000
6361,457439185
6363,28542679
6364,30165418
6365,4776900
6366,260324529
6367,293113973
6368,46359700
6369,16046148
6370,116200694
6371,106213279
6376,69175664
6378,20600000
6379,54168053
6380,1855733
6381,41745505
6382,18220000
6383,379830231
6384,6499000
6387,8042881
6390,11743587
6391,1718000
6392,2400000
6393,4510676
6395,129500355
6396,1120000
6400,9054000
6402,5564000
6403,4295968
6405,12960000
6407,67909449
6408,1553323
6412,99809060
6413,72000000
6417,230000000
6418,29672651
6419,22720000
6420,44132320
6424,4525000
6425,80195000
6428,22500000
6430,14818175
6432,48999000
6433,6316700
6436,71106129
6440,29874179
6444,112193313
6445,16979205
6448,257755930
6454,186149704
6455,45418542
6457,58938210
6458,72543000
6459,51717215
6460,213545376
6463,66542998
6464,41599600
6465,144890100
6466,2461600
6467,9053300
6469,10953900
6470,29172457
6471,500000000
6472,597533017
6473,318608107
6474,24919343
6479,427080606
6480,73501425
6481,119099803
6482,35638066
6484,8322178
6485,21500000
6486,49757821
6488,13326389
6489,0
6490,25042406
6492,1793000
6493,28978860
6494,48744624
6495,48849935
6496,3832800
6497,7424140
6498,87565611
6501,4535560985
6503,2113201551
6504,149296991
6505,9735000
6506,266690497
6507,29789122
6508,45527540
6513,6699986
6516,38916561
6517,21859660
6518,4678500
6521,11598113
6522,8046800
6523,126727354
6524,26000000
6525,238115614
6526,179978005
6527,920000
6532,155411410
6533,10034200
6535,58147188
6537,6925400
6538,20996400
6539,24998200
6540,10773902
6543,4178080
6544,178784000
6545,5427771
6546,5367800
6547,13878263
6548,19806800
6549,2853000
6551,8692622
6552,18348200
6554,9037600
6555,4597400
6557,6690762
6558,2795041
6560,4725185
6561,12664700
6562,18056400
6563,5417400
6564,27773500
6565,0
6566,15871400
6568,7779900
6570,6080130
6571,13514500
6572,63268990
6573,54385080
6574,509156000
6576,700000
6577,1524700
6578,7348900
6579,3803000
6580,5806000
6584,37112000
6586,280017520
6588,57629140
6590,69859500
6592,260649848
6594,1192568936
6596,3806000
6597,4375500
6599,1536000
6612,8526900
6613,41995075
6614,4426000
6615,28277620
6616,11554200
6617,16276305
6619,60625500
6620,40014943
6622,24903291
6625,117416118
6626,11371600
6627,9282500
6629,21063240
6630,58348880
6632,161564801
6633,9801549
6634,49588342
6635,6800600
6637,13030000
6638,32040000
6643,4711858
6644,46917180
6645,206244872
6647,1425000
6648,20960000
6651,40458000
6652,31374485
6653,13908595
6654,6299000
6656,4012800
6658,15116000
6659,78695300
6662,14791600
6663,6062400
6664,15000000
6666,8692652
6668,8586000
6670,101774700
6674,100446442
6675,18734886
6676,24000000
6677,11368400
6678,8760000
6694,4594824
6695,2264000
6696,4826991
6699,12232901
6701,1364249315
6702,1739778265
6703,87217602
6706,9900000
6707,20925360
6718,17640000
6721,56378400
6723,1870614885
6724,373573152
6727,135000000
6728,49355938
6730,11211989
6731,16116527
6736,24007728
6737,42330820
6740,4265632462
6741,68339704
6742,62844251
6743,18018000
6744,60832771
6745,79200000
6748,13238700
6750,92221420
6752,2454530697
6753,650414638
6754,135870594
6757,5500000
6758,5965316326
6762,1943859885
6763,9856107
6768,82771473
6769,12340100
6770,208103750
6771,7285746
6772,6825860
6775,13996942
6776,17014000
6777,11961100
6778,9562000
6779,23128605
6785,14404400
6786,25321760
6787,26803320
6788,8656780
6794,25000000
6797,12844000
6798,7200000
6800,23849878
6803,28931713
6804,58502584
6806,35693969
6807,70302608
6809,34736635
6810,40664000
6814,31894554
6817,33146617
6819,18572768
6820,14850000
6822,1470000
6823,12347700
6824,12561000
6832,12000000
6834,9333654
6835,105012176
6836,4785000
6837,14624000
6838,9182700
6840,9192560
6841,257201210
6844,10338884
6845,541372736
6848,19880620
6849,170961960
6850,18520232
6853,25961100
6855,14663510
6856,42233252
6857,732000000
6858,12200000
6859,23781394
6861,243207684
6862,7925714
6863,7350000
6864,7070000
6866,14024365
6867,4514301
6869,629480076
6870,5893000
6871,40025316
6874,8738400
6875,19046900
6877,20869380
6882,14950000
6888,10215400
6890,52712305
6894,1393459
6897,10906300
6898,816979
6899,3417006
6901,0
6902,2910979691
6904,21758000
6905,41186100
6907,9152400
6908,24460879
6912,8800000
6914,37735784
6915,9628929
6918,6367842
6919,7743000
6920,94286400
6923,126000000
6925,83500000
6926,22921562
6927,22806900
6928,6865360
6929,27231257
6932,14776321
6941,20529775
6942,4677720
6943,842520
6946,16764810
6947,22249804
6951,51532800
6952,234461814
6954,982272430
6955,34536302
6958,71298100
6960,37747300
6961,9732897
6962,32138881
6963,403760000
6964,9000000
6965,319257365
6966,197334325
6969,3837000
6971,1419100820
6976,130314810
6977,1240000
6981,1963001843
6982,2632960
6986,42426739
6988,678659700
6989,8450099
6993,739896570
6994,33061003
6995,89234171
6996,70000000
6997,27488713
6998,5155520
6999,37479724
7003,103098717
7004,170214843
7011,3373647810
7012,839609000
7013,1082759678
7014,69475551
7018,2253000
7021,2130000
7022,33977282
7030,17978250
7031,2523475
7033,16891270
7034,11207700
7035,11261970
7036,3913800
7037,4701300
7038,11829821
7039,3768600
7040,6820000
7041,5577250
7042,3468800
7043,2558900
7044,7367300
7046,2200000
7047,14195990
7048,36603380
7049,9138996
7050,9238000
7057,3223000
7058,1506500
7059,40000000
7060,10330709
7061,8484100
7062,2608600
7063,33720200
7064,2717485
7065,7660000
7066,10185600
7067,1602215
7068,23941658
7069,4086420
7071,98112000
7072,3163250
7073,937300
7074,8486200
7075,7485880
7077,2136900
7078,10053189
7079,2405000
7080,7487040
7081,11222600
7082,9970826
7083,2135870
7084,3259500
7085,93857493
7087,6480700
7088,0
7089,6613200
7090,1611800
7091,4484742
7093,2164170
7094,9940800
7095,14654272
7096,10246600
7097,4629100
7098,5000000
7102,14675012
7110,7370400
7111,7306432
7112,6139647
7114,4647640
7115,9911500
7119,11047588
7120,5502000
7122,6908359
7126,3502744
7127,7351800
7128,24298313
7129,2802300
7130,27766452
7131,1391575
7132,487080
7133,7279000
7134,7926900
7135,37341680
7136,0
7137,2066000
7138,16201892
7139,439386
7140,1889200
7148,83803600
7150,8416000
7157,80340768
7161,26840263
7162,13160300
7164,137743580
7167,947055218
7170,3867021
7172,61022353
7173,36148647
7175,5320000
7176,27120000
7177,122091903
7180,463375978
7181,1115468100
7182,3575878720
7183,17976600
7184,63000000
7185,6883500
7186,1144616065
7187,18032000
7189,146391055
7191,22373222
7192,14704000
7196,11522500
7198,44712170
7199,40710663
7201,3713998612
7202,688751769
7203,15794987460
7208,5129577
7211,1460476846
7212,18712244
7213,15891500
7214,5328444
7215,9378600
7217,9811308
7218,9763600
7219,1600000
7220,65581861
7222,135452804
7224,70000000
7226,40150000
7228,3616000
7229,14820000
7231,24077510
7235,10400000
7236,5900000
7238,273755222
7239,35242846
7240,160903090
7241,89580827
7242,50468662
7244,96431141
7245,47520253
7246,98066400
7247,34049423
7254,23396787
7255,4000000
7256,39511728
7259,726023902
7261,631803979
7264,6546200
7265,1240000
7266,22775352
7267,4533000000
7269,1964586400
7270,717335273
7271,12938639
7272,1018125101
7273,29385000
7276,307833172
7277,32694135
7278,48593736
7279,38216759
7280,46154016
7282,117614147
7283,63406879
7284,3502859
7287,58471299
7291,19410000
7292,12100000
7294,25055636
7296,52056530
7297,7928885
7299,10279750
7305,10400000
7309,86530000
7313,124000000
7314,3230300
7317,21505200
7318,19062316
7320,11997254
7322,104670340
7325,8708000
7326,24820530
7327,275657868
7337,305327921
7343,5946816
7345,3542000
7347,21549900
7350,23016564
7351,9246820
7352,44476880
7353,6876500
7354,47644836
7355,570275
7356,14981674
7357,2797100
7358,10177300
7359,10074422
7360,2863500
7361,3573100
7362,1533100
7363,941700
7364,1761700
7366,35717312
7367,23138000
7368,4720245
7369,4704300
7370,7298200
7371,12342100
7372,5670000
7373,15313240
7374,6714777
7375,3348821
7376,4259220
7377,8420000
7378,7422568
7380,189620670
7381,229085820
7383,99502999
7384,28658957
7388,23270500
7389,245623355
7399,7708000
7409,12390486
7412,193559297
7413,705500
7414,25123913
7416,16485078
7417,13230140
7419,307737696
7421,49414578
7422,5120700
7425,3480660
7426,1187368
7427,6114546
7433,21137213
7434,4284500
7435,8800500
7438,26344400
7442,20214480
7443,6290000
7444,5441568
7446,960000
7447,30736000
7453,561560000
7456,26908581
7458,103968400
7459,215975042
7460,9140000
7461,15180000
7462,4111000
7463,43312692
7464,2000000
7466,20907600
7472,4700000
7475,9255926
7476,75012540
7477,1470000
7480,13282000
7481,9255000
7482,23647826
7483,37375636
7486,12300000
7487,8435225
7490,7600000
7494,35322490
7500,3432475
7501,3339995
7502,2439433
7504,20990920
7505,13921960
7506,4703063
7508,44071454
7509,1645360
7510,16028000
7512,139420284
7513,77912716
7514,12320787
7515,934999
7516,34682113
7520,11648917
7521,7950000
7522,42684880
7523,9152316
7524,10550400
7525,8640000
7527,105834140
7531,3945100
7532,3177296700
7537,28051200
7538,13774819
7539,23295640
7544,7707095
7545,69588856
7550,160733225
7551,16118166
7552,48100000
7554,20832441
7555,5500000
7561,19050064
7562,4622868
7564,81846816
7565,1636200
7567,5090000
7570,21293052
7571,35830058
7575,71300000
7578,18461405
7581,52272342
7585,4351308
7590,17590114
7593,122581034
7595,80000000
7596,14620000
7599,106888000
7600,26475880
7601,13938133
7602,24106009
7603,75847638
7604,9029200
7606,30213676
7607,13815319
7608,16980206
7609,21266698
7610,68664338
7611,38147116
7613,50400000
7614,7335634
7615,21614700
7616,106453541
7619,8832000
7621,5616940
7624,54789510
7625,10421300
7628,25781920
7630,159630000
7634,3420000
7636,14509800
7637,11343300
7638,17386204
7640,16214400
7643,11438640
7646,7482720
7649,189992514
7670,10500000
7673,5332780
7674,2447320
7677,2880000
7678,5385020
7679,19740219
7680,51600
7681,5922000
7682,2170210
7683,19083280
7685,61892080
7686,29195600
7687,6641600
7689,2963000
7690,600000
7691,31078600
7692,110131200
7693,4800000
7694,5953358
7695,7469100
7698,3931700
7701,296070227
7702,24733466
7707,27666900
7709,13830000
7711,5870000
7713,7552628
7715,18892484
7716,92218200
7717,10057600
7719,7171791
7721,17076439
7722,14200000
7723,15420000
7725,11510200
7726,5743286
7727,21000000
7729,42284981
7730,107003277
7731,333585686
7733,1114485700
7734,47322000
7735,190759972
7740,170800000
7741,334838020
7743,30265922
7744,108818916
7745,27845208
7746,29121543
7747,265332300
7749,15880000
7751,1333763464
7752,569733178
7760,16957016
7762,246000000
7769,8385093
7771,24180047
7774,40610200
7775,31840000
7776,39160419
7777,127971881
7779,137445809
7780,76771488
7781,8156400
7782,6862200
7791,4152820
7792,9096900
7793,2572235
7794,15474600
7795,49235000
7800,3235000
7803,137481100
7804,2335300
7805,5460400
7806,40202888
7807,5032630
7808,1850100
7809,8550900
7810,18345000
7811,8920791
7812,3248900
7813,3726000
7814,51000000
7815,3660369
7818,57550800
7819,13410000
7820,25060000
7821,68080612
7822,46783800
7823,34393200
7826,25389636
7827,1783006
7831,15522250
7832,645000000
7833,10242000
7836,35129566
7837,4536400
7839,52318616
7840,34747500
7841,9441800
7844,62216400
7846,37405200
7847,6945600
7849,3840000
7850,3060110
7851,5160000
7856,14897600
7857,4508000
7859,20806316
7860,45919300
7863,4015585
7864,60161956
7865,4437500
7867,93616650
7868,164352545
7871,20688425
7872,11459223
7874,38165340
7875,17562000
7877,1460000
7878,1584000
7879,17339200
7883,17825050
7885,15721000
7886,1622179
7887,5047900
7888,30688569
7893,27716688
7896,4673250
7897,28373005
7898,9841969
7901,1143900
7902,5000000
7906,92870800
7908,54772564
7911,294706240
7912,439480692
7914,30000000
7915,48016100
7916,3103420
7917,77071040
7918,45628213
7919,21460000
7921,13153293
7922,7878800
7925,0
7927,7739548
7928,3896000
7931,25607086
7932,2889000
7936,734482236
7937,15630000
7938,3250000
7939,4022774
7940,11120538
7942,26207073
7943,34487164
7944,26580659
7946,4250500
7947,84568424
7949,19721980
7951,463000000
7952,9011560
7953,12744054
7955,36442374
7956,121653486
7957,1789487
7962,31459692
7963,5104003
7965,72600000
7966,72488740
7970,82623376
7971,60129249
7972,53382850
7974,1287260000
7975,3815700
7976,60042592
7979,35788178
7980,7200000
7981,63361494
7983,3005441
7984,440969852
7985,962948
7986,1776000
7987,28794294
7988,100232614
7989,20763600
7990,22800000
7991,10508670
7992,29659554
7994,100621021
7995,18688733
7997,1857113
7999,5054818
8001,7924447520
8002,1660758361
8005,34629200
8006,19590892
8007,34377984
8008,24331356
8011,10197034
8012,439633140
8013,8217281
8014,25303478
8015,1062169548
8016,141921669
8018,46000000
8020,169000404
8022,79734729
8023,13868408
8025,4069747
8029,7818713
8030,4315300
8031,2864666576
8032,120215510
8035,468032733
8037,32991969
8039,2253520
8040,3860000
8041,5562292
8043,58567656
8045,7261706
8046,20000000
8050,82808522
8051,95305435
8052,19493907
8053,1195115184
8056,98959624
8057,52096855
8058,3710528742
8059,32759200
8060,222159944
8061,36961950
8065,21799050
8066,91000000
8070,28678486
8074,22100000
8075,26581686
8076,11103500
8077,26007448
8078,211663200
8079,17100000
8081,22500000
8084,21612037
8085,5325600
8086,171459479
8088,234246596
8089,12247639
8091,9008800
8093,12152736
8095,41182421
8097,63000000
8098,53714127
8101,12629942
8103,40332400
8104,16694496
8105,67850648
8107,275393910
8111,142344516
8113,1862502957
8115,4774719
8117,60060000
8118,24771561
8119,10211784
8123,1861000
8125,52021297
8127,21302936
8129,73025942
8130,59200000
8131,57061223
8132,11046591
8133,116881106
8135,20102000
8136,1277041515
8137,16044000
8138,1145500
8139,16773376
8141,31010566
8142,33036498
8143,2567064
8144,6665021
8147,6158000
8150,16281373
8151,26085000
8152,1958734
8153,32009910
8154,52486836
8157,18977894
8158,22968000
8159,25025242
8160,28543889
8163,41470184
8165,52056993
8166,41770822
8167,46646059
8173,28000000
8174,107951798
8179,99723724
8181,2572871
8185,34359396
8194,90501600
8198,31973848
8200,26067972
8202,93335103
8203,39611134
8207,40460727
8214,86649504
8217,41937297
8218,53809168
8219,151182048
8225,727500
8226,15514721
8227,221479794
8230,18646376
8233,305208916
8237,53289640
8242,125201396
8244,40437940
8247,6003400
8252,183660417
8253,161102570
8254,6406314
8255,93552156
8260,11480495
8267,2783529021
8273,214995600
8275,27732622
8276,51546470
8278,86856954
8281,47911023
8282,168000000
8283,62000000
8285,61772500
8289,23354223
8291,59578916
8303,895500000
8304,139789418
8306,11867710920
8308,2307136666
8309,698812980
8316,3827498140
8331,775521087
8334,395888177
8336,100216368
8337,62222045
8338,82553721
8341,229967238
8343,18093643
8344,32216115
8345,73991144
8346,252500000
8349,9509963
8354,191138265
8358,172139248
8359,493767424
8360,32783000
8361,41281897
8362,24144669
8364,11641318
8365,5444400
8366,240450405
8367,165128280
8368,254119000
8370,67300000
8377,121120114
8381,156977472
8383,9619938
8386,114520000
8387,42400000
8388,40000000
8392,78468170
8393,85667000
8395,16935909
8399,43108470
8410,1179308000
8411,2442831994
8416,10244800
8418,234767616
8424,90863430
8425,282666300
8439,492113280
8473,661152414
8508,133515915
8511,83000000
8518,27564392
8522,49366461
8524,378060179
8537,9671400
8541,39426777
8542,11679030
8544,126427858
8550,109608000
8551,8443776
8558,35775873
8562,34900000
8563,12701462
8566,31243223
8570,216010128
8572,1566614098
8584,45059992
8585,171888020
8591,1124106624
8593,1466912244
8595,54250000
8596,25952374
8600,193533011
8601,1569378772
8604,3088562601
8609,231217073
8613,67398262
8614,73877569
8616,260582115
8617,9486400
8622,65689033
8624,37931386
8628,259264702
8630,934228767
8697,1031785336
8698,251647100
8699,40953500
8700,4042970
8704,29538647
8705,55025703
8706,32779000
8707,25012800
8708,39525649
8713,18142122
8714,281008632
8715,74939160
8725,1492551732
8729,6770358214
8737,34029544
8739,41507780
8742,12554379
8746,18192682
8747,8897472
8750,3621895219
8766,1934000000
8769,16280200
8771,45335467
8772,32980500
8783,40152219
8789,201321700
8793,21549427
8795,488000000
8798,37468200
8801,2718535953
8802,1217233706
8803,71019992
8804,207978574
8818,48811498
8830,936000000
8835,7783448
8836,96013277
8841,93849352
8844,33911219
8848,334415678
8850,53998205
8860,36849912
8864,52006350
8869,23447684
8871,35784000
8876,153016200
8877,15465600
8881,46951260
8887,42068762
8891,2906048
8892,98580887
8894,156678757
8897,137940000
8898,11325000
8904,14884300
8908,18000000
8912,17145800
8914,51763600
8917,16901900
8918,1545140000
8919,78650640
8920,38315000
8921,1000000
8923,97367600
8927,31642700
8928,11535600
8929,25129059
8931,11100000
8934,57407314
8935,34646500
8938,10408500
8944,23346115
8945,10888000
8946,23808200
8995,2012000
8996,4110000
8999,30823200
9001,197266821
9003,98145499
9005,624869876
9006,275760547
9007,368497717
9008,586018150
9009,517233555
9010,54884738
9012,1500000
9017,3864000
9020,1134412200
9021,455561300
9022,1001177100
9023,425828400
9024,305775520
9025,56952442
9028,17560242
9029,13264000
9031,79360186
9033,30445500
9034,10000000
9036,5749000
9037,76048000
9039,42324000
9041,190662061
9042,251498234
9044,108465746
9045,106816403
9046,8061566
9048,196700692
9049,2000000
9051,5651000
9052,22330598
9057,7546000
9059,23308720
9060,1383310
9063,2200000
9064,360496492
9065,52901749
9067,28965449
9068,20618244
9069,175692457
9072,127117796
9073,2794662
9074,3322935
9075,39194163
9076,187679783
9081,12600000
9082,5250000
9083,12344000
9087,2109026
9090,137984520
9101,405321700
9104,363022527
9107,639172067
9110,23970679
9115,36000000
9119,108900000
9127,1932000
9130,7650000
9142,154649000
9143,640394400
9145,24100000
9146,1295000
9147,243000000
9149,20000000
9156,200000
9158,29990400
9159,2754400
9160,38204793
9162,25731800
9163,8753889
9165,2350000
9166,187960182
9168,24980340
9169,2640000
9171,12739696
9173,2200000
9193,10010000
9201,437143500
9202,484293561
9204,60329400
9206,3784076
9211,12459400
9212,11359300
9213,1320800
9214,1414000
9215,1892000
9216,14368800
9218,10507300
9219,5596775
9220,2436700
9221,11779600
9222,1571000
9223,12438400
9225,2181200
9226,1070000
9227,15904500
9229,35220000
9233,18614000
9235,8103791
9236,1519300
9237,4065980
9238,2350680
9239,3000000
9240,4863200
9241,867998
9242,1232300
9243,807600
9244,1571000
9245,5440400
9246,5487450
9247,52610712
9248,9416000
9249,8713200
9250,1526530
9251,15247114
9252,2810201
9253,2771875
9254,1806775
9256,3581200
9258,6662300
9259,5610500
9262,10928400
9264,4700826
9265,2553000
9267,31031568
9268,77027180
9270,13932310
9271,6835024
9272,10160400
9273,42119980
9274,67244284
9278,20547413
9279,20048101
9301,362135395
9302,77991106
9303,76614215
9304,60870988
9305,22688362
9306,7864990
9307,16419110
9308,26072960
9310,66405517
9311,1418000
9312,6536445
9313,7300000
9319,19064897
9322,8258322
9324,30360000
9325,10822800
9326,10308150
9327,15843000
9330,1433500
9331,1960460
9332,34024720
9334,899000
9335,2000000
9336,99892900
9337,3303520
9338,10045103
9339,2387652
9340,9814200
9341,17838100
9342,2405200
9343,18465530
9344,5061030
9345,3249604
9346,3677657
9347,41180306
9348,146303943
9351,7740000
9353,1540000
9355,2700000
9360,3000000
9361,2615400
9362,1224000
9363,6228039
9364,106576837
9365,1470000
9366,6006373
9367,9389000
9368,47087600
9369,25355800
9376,3690000
9380,28923000
9381,23913600
9385,7850000
9401,161091065
9404,261220180
9405,41833000
9408,6000000
9409,108529000
9412,297681264
9413,27579500
9414,17834232
9416,50938600
9417,10679800
9418,180375333
9419,10938574
9421,5350400
9423,24277800
9424,166838739
9425,7106900
9428,9597400
9432,61366876400
9433,4007450967
9434,47999665700
9435,43989642
9436,92303304
9438,60435200
9439,11642100
9441,12240712
9444,6536800
9445,16757700
9446,10956500
9449,107349121
9450,20593600
9466,13520000
9467,29062200
9468,148990296
9470,44633232
9474,57301365
9475,18178173
9476,4398464
9478,16284226
9501,1607017531
9502,758000000
9503,1114927528
9504,387154692
9505,210333694
9506,502882585
9507,207528202
9508,474183951
9509,215291912
9511,56927965
9513,176337900
9514,21635144
9517,78161608
9519,91252300
9531,334959259
9532,397881800
9533,366267140
9534,88689030
9535,68737429
9536,37187567
9537,4800000
9539,32805000
9543,76192950
9551,44258500
9552,54101335
9553,27831354
9554,6360300
9556,9414540
9557,8284200
9558,4014000
9560,12754237
9561,8436540
9562,4244400
9563,7430000
9564,22074000
9565,2775933
9601,13937857
9602,850000000
9603,79860936
9605,73844545
9610,11155580
9612,11393600
9616,91243720
9619,23762227
9621,28318172
9622,26600319
9625,5703500
9627,35428212
9628,24200000
9629,22000000
9632,13310000
9633,8013000
9635,1050000
9636,2821000
9639,23356800
9640,16200000
9644,34000000
9647,586100
9651,10645020
9656,10346683
9658,34845600
9661,12170000
9663,16357214
9672,28084854
9678,38742241
9679,4212000
9682,163954928
9684,367594788
9685,5115492
9686,11432460
9687,7636368
9691,3510000
9692,35168200
9697,533011246
9698,8585688
9699,28391464
9701,3463943
9702,11478497
9704,281708934
9706,93145400
9708,118800000
9709,18000000
9713,15303369
9715,43863116
9716,119896588
9720,1181448
9722,61037120
9723,12065400
9726,27331013
9729,33092146
9731,3900000
9733,30445227
9735,466599796
9739,14900000
9740,14816692
9742,20900000
9743,48424071
9744,78000000
9746,50241466
9753,10800000
9755,24322000
9757,100000000
9759,86000000
9760,20031000
9761,3494322
9763,10288320
9765,16500000
9766,143500000
9767,1862254
9768,7499025
9769,10968356
9778,693576
9780,9624490
9782,7262020
9788,46613500
9790,20700000
9791,7718722
9793,48000000
9795,16670000
9799,16529700
9812,8926896
9816,9712089
9818,8046500
9820,1079600
9823,53983965
9824,18000000
9827,12662100
9828,17765816
9830,66008744
9831,966863199
9832,82050105
9835,8331164
9837,26800000
9842,64733372
9843,572217480
9845,26801452
9846,11550000
9849,735344
9850,22910275
9853,6252004
9854,21076154
9856,44126024
9857,6470000
9861,65129558
9867,865301
9869,35000000
9872,10011841
9876,27711028
9878,3210228
9880,13700000
9882,86021392
9885,16086250
9887,20595468
9888,11280000
9889,71094972
9890,10540200
9895,1864011
9896,31040016
9900,30301784
9902,30000800
9903,8050000
9904,27230825
9906,10010000
9908,11818507
9913,9127338
9914,2340000
9927,9094832
9928,32306286
9929,10116917
9930,23818257
9932,22798474
9934,113659600
9936,64858690
9941,1934019
9946,29372774
9948,57649868
9950,3068111
9955,12290862
9956,53987499
9959,13495248
9960,41964000
9962,285235397
9969,17691669
9972,15153000
9973,296121340
9974,20867800
9976,5586150
9978,43849840
9979,21198962
9980,101295071
9982,8800000
9983,318220968
9984,5711848120
9986,6266000
9987,72167204
9989,119331184
9990,29859900
9991,33795746
9993,10960825
9994,10847870
9996,9152640
9997,97244472
